id;address;lat;lng;timestamp
1;Montenegro;frictionless;Rubber Awesome Frozen Mouse;2019-09-26T11:40:45
2;primary Customer-focused UAE Dirham;Rubber Mall Investment Account;scalable Configuration calculating;2019-09-25T20:15:19
3;Frozen matrix;mint green streamline Mobility;Arizona synthesizing Fresh;2019-09-26T00:19:46
4;indigo Bacon Mouse;Programmable payment National;HDD;2019-09-26T09:59:50
5;indexing models e-enable;Money Market Account Saint Helena;Borders Grass-roots;2019-09-25T21:49:34
6;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account;2019-09-26T11:22:41
7;Wooden optical Investment Account;reboot South Carolina;Cheese orchestration Robust;2019-09-26T01:33:40
8;Electronics;application Cambridgeshire;scalable connecting Fantastic;2019-09-25T23:06:04
9;Rubber syndicate;Cameroon Bedfordshire models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);2019-09-26T06:23:26
10;Persistent transparent Chips;front-end Intuitive vortals;Communications;2019-09-26T15:44:07
